"","assembly_accession","bioproject_accession","biosample_common_name","biosample_description","tax_id","organism_name","source_db","biosample_owner","biosample_host","biosample_location","biosample_isolation","biosample_ecotype","assembly_level","contig_l50","contig_n50","gaps_between_scaffolds","atgc_count","gc_percent","genome_coverage","component_sequences","contigs","organelles","scaffolds","scaffold_l50","scaffold_n50","chromosomes","sequence_length","ungapped_length","organelle_description","organelle_sequence_length","is_SO","rank1","rank2","rank3","rank4","rank5","rank6","rank7"
"23","GCF_965638725.1","PRJEB86486",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","REFSEQ","EBI",NA,"French Southern and Antarctic Lands",NA,NA,"Chromosome",38,10636000,NA,1352542774,43.5,45,618,931,NA,618,5,86569806,34,1352580174,1352542774,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"24","GCF_965638725.1","PRJEB86486",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","REFSEQ","EBI",NA,"French Southern and Antarctic Lands",NA,NA,"Chromosome",38,10636000,NA,1352542774,43.5,45,618,931,NA,618,5,86569806,34,1352580174,1352542774,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"25","GCF_965638725.1","PRJEB86486",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","REFSEQ","EBI",NA,"French Southern and Antarctic Lands",NA,NA,"Chromosome",38,10636000,NA,1352542774,43.5,45,618,931,NA,618,5,86569806,34,1352580174,1352542774,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"26","GCF_965638725.1","PRJEB86486",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","REFSEQ","EBI",NA,"French Southern and Antarctic Lands",NA,NA,"Chromosome",38,10636000,NA,1352542774,43.5,45,618,931,NA,618,5,86569806,34,1352580174,1352542774,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"27","GCF_965638725.1","PRJEB86486",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","REFSEQ","EBI",NA,"French Southern and Antarctic Lands",NA,NA,"Chromosome",38,10636000,NA,1352542774,43.5,45,618,931,NA,618,5,86569806,34,1352580174,1352542774,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"28","GCF_965638725.1","PRJEB86486",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","REFSEQ","EBI",NA,"French Southern and Antarctic Lands",NA,NA,"Chromosome",38,10636000,NA,1352542774,43.5,45,618,931,NA,618,5,86569806,34,1352580174,1352542774,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"29","GCA_010087175.1","PRJNA556735",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","GENBANK","BGI-Shenzhen",NA,NA,NA,NA,"Scaffold",2558,133461,NA,1220635914,42,120,15968,31412,NA,15968,122,2912628,NA,1252291219,1220640413,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"30","GCA_010087175.1","PRJNA556735",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","GENBANK","BGI-Shenzhen",NA,NA,NA,NA,"Scaffold",2558,133461,NA,1220635914,42,120,15968,31412,NA,15968,122,2912628,NA,1252291219,1220640413,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"31","GCA_010087175.1","PRJNA556735",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","GENBANK","BGI-Shenzhen",NA,NA,NA,NA,"Scaffold",2558,133461,NA,1220635914,42,120,15968,31412,NA,15968,122,2912628,NA,1252291219,1220640413,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"32","GCA_010087175.1","PRJNA556735",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","GENBANK","BGI-Shenzhen",NA,NA,NA,NA,"Scaffold",2558,133461,NA,1220635914,42,120,15968,31412,NA,15968,122,2912628,NA,1252291219,1220640413,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"33","GCA_010087175.1","PRJNA556735",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","GENBANK","BGI-Shenzhen",NA,NA,NA,NA,"Scaffold",2558,133461,NA,1220635914,42,120,15968,31412,NA,15968,122,2912628,NA,1252291219,1220640413,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"34","GCA_010087175.1","PRJNA556735",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","GENBANK","BGI-Shenzhen",NA,NA,NA,NA,"Scaffold",2558,133461,NA,1220635914,42,120,15968,31412,NA,15968,122,2912628,NA,1252291219,1220640413,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"35","GCA_010087175.1","PRJNA556735",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","GENBANK","BGI-Shenzhen",NA,NA,NA,NA,"Scaffold",2558,133461,NA,1220635914,42,120,15968,31412,NA,15968,122,2912628,NA,1252291219,1220640413,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"36","GCA_010087175.1","PRJNA556735",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","GENBANK","BGI-Shenzhen",NA,NA,NA,NA,"Scaffold",2558,133461,NA,1220635914,42,120,15968,31412,NA,15968,122,2912628,NA,1252291219,1220640413,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"37","GCA_965638715.1","PRJEB86486",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","GENBANK","EBI",NA,"French Southern and Antarctic Lands",NA,NA,"Chromosome",33,12089994,NA,1260782159,44,45,696,945,NA,696,5,82235355,32,1260811559,1260782159,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"38","GCA_965638715.1","PRJEB86486",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","GENBANK","EBI",NA,"French Southern and Antarctic Lands",NA,NA,"Chromosome",33,12089994,NA,1260782159,44,45,696,945,NA,696,5,82235355,32,1260811559,1260782159,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"39","GCA_965638715.1","PRJEB86486",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","GENBANK","EBI",NA,"French Southern and Antarctic Lands",NA,NA,"Chromosome",33,12089994,NA,1260782159,44,45,696,945,NA,696,5,82235355,32,1260811559,1260782159,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"40","GCA_965638715.1","PRJEB86486",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","GENBANK","EBI",NA,"French Southern and Antarctic Lands",NA,NA,"Chromosome",33,12089994,NA,1260782159,44,45,696,945,NA,696,5,82235355,32,1260811559,1260782159,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"41","GCA_965638715.1","PRJEB86486",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","GENBANK","EBI",NA,"French Southern and Antarctic Lands",NA,NA,"Chromosome",33,12089994,NA,1260782159,44,45,696,945,NA,696,5,82235355,32,1260811559,1260782159,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"42","GCA_965638715.1","PRJEB86486",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","GENBANK","EBI",NA,"French Southern and Antarctic Lands",NA,NA,"Chromosome",33,12089994,NA,1260782159,44,45,696,945,NA,696,5,82235355,32,1260811559,1260782159,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"43","GCA_965638715.1","PRJEB86486",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","GENBANK","EBI",NA,"French Southern and Antarctic Lands",NA,NA,"Chromosome",33,12089994,NA,1260782159,44,45,696,945,NA,696,5,82235355,32,1260811559,1260782159,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"44","GCA_965638715.1","PRJEB86486",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","GENBANK","EBI",NA,"French Southern and Antarctic Lands",NA,NA,"Chromosome",33,12089994,NA,1260782159,44,45,696,945,NA,696,5,82235355,32,1260811559,1260782159,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"45","GCA_965638725.1","PRJEB86486",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","GENBANK","EBI",NA,"French Southern and Antarctic Lands",NA,NA,"Chromosome",38,10636000,NA,1352542774,43.5,45,618,931,1,618,5,86569806,34,1352580174,1352542774,"Mitochondrion",20520,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"46","GCA_965638725.1","PRJEB86486",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","GENBANK","EBI",NA,"French Southern and Antarctic Lands",NA,NA,"Chromosome",38,10636000,NA,1352542774,43.5,45,618,931,1,618,5,86569806,34,1352580174,1352542774,"Mitochondrion",20520,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"47","GCA_965638725.1","PRJEB86486",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","GENBANK","EBI",NA,"French Southern and Antarctic Lands",NA,NA,"Chromosome",38,10636000,NA,1352542774,43.5,45,618,931,1,618,5,86569806,34,1352580174,1352542774,"Mitochondrion",20520,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"48","GCA_965638725.1","PRJEB86486",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","GENBANK","EBI",NA,"French Southern and Antarctic Lands",NA,NA,"Chromosome",38,10636000,NA,1352542774,43.5,45,618,931,1,618,5,86569806,34,1352580174,1352542774,"Mitochondrion",20520,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"49","GCA_965638725.1","PRJEB86486",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","GENBANK","EBI",NA,"French Southern and Antarctic Lands",NA,NA,"Chromosome",38,10636000,NA,1352542774,43.5,45,618,931,1,618,5,86569806,34,1352580174,1352542774,"Mitochondrion",20520,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"50","GCA_965638725.1","PRJEB86486",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","GENBANK","EBI",NA,"French Southern and Antarctic Lands",NA,NA,"Chromosome",38,10636000,NA,1352542774,43.5,45,618,931,1,618,5,86569806,34,1352580174,1352542774,"Mitochondrion",20520,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"51","GCA_965638725.1","PRJEB86486",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","GENBANK","EBI",NA,"French Southern and Antarctic Lands",NA,NA,"Chromosome",38,10636000,NA,1352542774,43.5,45,618,931,1,618,5,86569806,34,1352580174,1352542774,"Mitochondrion",20520,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"52","GCA_965638725.1","PRJEB86486",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","GENBANK","EBI",NA,"French Southern and Antarctic Lands",NA,NA,"Chromosome",38,10636000,NA,1352542774,43.5,45,618,931,1,618,5,86569806,34,1352580174,1352542774,"Mitochondrion",20520,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"53","GCA_040869175.1","PRJNA1099198",NA,"Arctocephalus gazella","37190","Arctocephalus gazella","GENBANK","Uppsala University",NA,"missing",NA,NA,"Scaffold",17,55559406,NA,2527514139,41.5,72.6,541,592,NA,541,8,141635559,NA,2527519239,2527514139,NA,NA,TRUE,"Eukaryota","Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","Arctocephalus gazella"
"54","GCA_040869175.1","PRJNA1099198",NA,"Arctocephalus gazella","37190","Arctocephalus gazella","GENBANK","Uppsala University",NA,"missing",NA,NA,"Scaffold",17,55559406,NA,2527514139,41.5,72.6,541,592,NA,541,8,141635559,NA,2527519239,2527514139,NA,NA,TRUE,"Eukaryota","Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","Arctocephalus gazella"
"55","GCA_040869175.1","PRJNA1099198",NA,"Arctocephalus gazella","37190","Arctocephalus gazella","GENBANK","Uppsala University",NA,"missing",NA,NA,"Scaffold",17,55559406,NA,2527514139,41.5,72.6,541,592,NA,541,8,141635559,NA,2527519239,2527514139,NA,NA,TRUE,"Eukaryota","Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","Arctocephalus gazella"
"56","GCA_040869175.1","PRJNA1099198",NA,"Arctocephalus gazella","37190","Arctocephalus gazella","GENBANK","Uppsala University",NA,"missing",NA,NA,"Scaffold",17,55559406,NA,2527514139,41.5,72.6,541,592,NA,541,8,141635559,NA,2527519239,2527514139,NA,NA,TRUE,"Eukaryota","Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","Arctocephalus gazella"
"57","GCA_040869175.1","PRJNA1099198",NA,"Arctocephalus gazella","37190","Arctocephalus gazella","GENBANK","Uppsala University",NA,"missing",NA,NA,"Scaffold",17,55559406,NA,2527514139,41.5,72.6,541,592,NA,541,8,141635559,NA,2527519239,2527514139,NA,NA,TRUE,"Eukaryota","Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","Arctocephalus gazella"
"58","GCA_040869175.1","PRJNA1099198",NA,"Arctocephalus gazella","37190","Arctocephalus gazella","GENBANK","Uppsala University",NA,"missing",NA,NA,"Scaffold",17,55559406,NA,2527514139,41.5,72.6,541,592,NA,541,8,141635559,NA,2527519239,2527514139,NA,NA,TRUE,"Eukaryota","Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","Arctocephalus gazella"
"59","GCA_040869175.1","PRJNA1099198",NA,"Arctocephalus gazella","37190","Arctocephalus gazella","GENBANK","Uppsala University",NA,"missing",NA,NA,"Scaffold",17,55559406,NA,2527514139,41.5,72.6,541,592,NA,541,8,141635559,NA,2527519239,2527514139,NA,NA,TRUE,"Eukaryota","Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","Arctocephalus gazella"
"60","GCA_040869175.1","PRJNA1099198",NA,"Arctocephalus gazella","37190","Arctocephalus gazella","GENBANK","Uppsala University",NA,"missing",NA,NA,"Scaffold",17,55559406,NA,2527514139,41.5,72.6,541,592,NA,541,8,141635559,NA,2527519239,2527514139,NA,NA,TRUE,"Eukaryota","Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","Arctocephalus gazella"
"61","GCA_040869195.1","PRJNA1099197",NA,"Arctocephalus gazella","37190","Arctocephalus gazella","GENBANK","Uppsala University",NA,"missing",NA,NA,"Scaffold",13,73963075,NA,2517563142,41.5,72.9,379,423,NA,379,8,141085310,NA,2517567542,2517563142,NA,NA,TRUE,"Eukaryota","Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","Arctocephalus gazella"
"62","GCA_040869195.1","PRJNA1099197",NA,"Arctocephalus gazella","37190","Arctocephalus gazella","GENBANK","Uppsala University",NA,"missing",NA,NA,"Scaffold",13,73963075,NA,2517563142,41.5,72.9,379,423,NA,379,8,141085310,NA,2517567542,2517563142,NA,NA,TRUE,"Eukaryota","Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","Arctocephalus gazella"
"63","GCA_040869195.1","PRJNA1099197",NA,"Arctocephalus gazella","37190","Arctocephalus gazella","GENBANK","Uppsala University",NA,"missing",NA,NA,"Scaffold",13,73963075,NA,2517563142,41.5,72.9,379,423,NA,379,8,141085310,NA,2517567542,2517563142,NA,NA,TRUE,"Eukaryota","Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","Arctocephalus gazella"
"64","GCA_040869195.1","PRJNA1099197",NA,"Arctocephalus gazella","37190","Arctocephalus gazella","GENBANK","Uppsala University",NA,"missing",NA,NA,"Scaffold",13,73963075,NA,2517563142,41.5,72.9,379,423,NA,379,8,141085310,NA,2517567542,2517563142,NA,NA,TRUE,"Eukaryota","Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","Arctocephalus gazella"
"65","GCA_040869195.1","PRJNA1099197",NA,"Arctocephalus gazella","37190","Arctocephalus gazella","GENBANK","Uppsala University",NA,"missing",NA,NA,"Scaffold",13,73963075,NA,2517563142,41.5,72.9,379,423,NA,379,8,141085310,NA,2517567542,2517563142,NA,NA,TRUE,"Eukaryota","Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","Arctocephalus gazella"
"66","GCA_040869195.1","PRJNA1099197",NA,"Arctocephalus gazella","37190","Arctocephalus gazella","GENBANK","Uppsala University",NA,"missing",NA,NA,"Scaffold",13,73963075,NA,2517563142,41.5,72.9,379,423,NA,379,8,141085310,NA,2517567542,2517563142,NA,NA,TRUE,"Eukaryota","Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","Arctocephalus gazella"
