"","assembly_accession","bioproject_accession","biosample_common_name","biosample_description","tax_id","organism_name","source_db","biosample_owner","biosample_host","biosample_location","biosample_isolation","biosample_ecotype","assembly_level","contig_l50","contig_n50","gaps_between_scaffolds","atgc_count","gc_percent","genome_coverage","component_sequences","contigs","organelles","scaffolds","scaffold_l50","scaffold_n50","chromosomes","sequence_length","ungapped_length","organelle_description","organelle_sequence_length","is_SO","rank1","rank2","rank3","rank4","rank5","rank6","rank7","len_ratio","keep"
"11","GCA_004010195.1","PRJNA478295",NA,"Chiloscyllium plagiosum","36176","Chiloscyllium plagiosum","GENBANK","BGI",NA,"China: Fujian","bamboo shark captured from coastal area",NA,"Chromosome",25901,37239,NA,3572302979,42.5,280,601049,756729,NA,601049,18,72140027,51,3776550609,3572319349,NA,NA,FALSE,"Eukaryota","Chordata","Chondrichthyes","Orectolobiformes","Hemiscylliidae","Chiloscyllium","Chiloscyllium plagiosum",0.945921217231065,FALSE
"12","GCA_051110555.1","PRJNA1076684",NA,"Neosalangichthys ishikawae","2905919","Neosalangichthys ishikawae","GENBANK","Institute of Oceanology, Chinese Academy of Sciences",NA,"Japan:Kesennuma,Miyagi",NA,"missing","Chromosome",52057,2208,NA,533625773,47.5,26,284904,444382,NA,284904,17,13370259,28,549573573,533625773,NA,NA,FALSE,"Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Neosalangichthys","Neosalangichthys ishikawae",0.970981501324846,FALSE
"13","GCA_000002275.2","PRJNA12885",NA,"Ornithorhynchus anatinus","9258","Ornithorhynchus anatinus","GENBANK","Washington University School of Medicine, Genome Sequencing Center",NA,"Australia: Upper Barnard River on Glen Rock Station, New South Wales",NA,NA,"Chromosome",39593,11544,NA,1842233804,45.5,NA,445348,445367,NA,201524,182,991605,19,1996809494,1842233804,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Monotremata","Ornithorhynchidae","Ornithorhynchus","Ornithorhynchus anatinus",0.922588664334546,FALSE
"14","GCA_028646575.1","PRJNA512907",NA,"Pseudocheirus occidentalis","656515","Pseudocheirus occidentalis","GENBANK","Baylor College of Medicine",NA,"not collected","not collected","not collected","Chromosome",39426,24464,NA,3569373229,39,60,917762,1001302,NA,917762,7,213462136,10,3603728918,3569373229,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Diprotodontia","Pseudocheiridae","Pseudocheirus","Pseudocheirus occidentalis",0.990466627823086,FALSE
"15","GCA_019857665.1","PRJNA578591",NA,"Eleutherodactylus coqui","57060","Eleutherodactylus coqui","GENBANK","University of California, Berkeley",NA,"USA: Hawaii",NA,NA,"Chromosome",54726,10856,NA,2367745337,43.5,240,105233,480031,NA,105233,8,109467076,13,2789347782,2367748577,NA,NA,FALSE,"Eukaryota","Chordata","Amphibia","Anura","Eleutherodactylidae","Eleutherodactylus","Eleutherodactylus coqui",0.848853840413651,FALSE
"16","GCA_000218505.1","PRJNA63667",NA,"Schrenkiella parvula","98039","Schrenkiella parvula","GENBANK","University of Illinois",NA,NA,NA,NA,"Chromosome",8,5288824,6,137069906,35.5,6,1490,1490,NA,1463,6,9613411,7,137073209,137069909,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Schrenkiella","Schrenkiella parvula",0.999975925273625,FALSE
"17","GCA_028646515.1","PRJNA512907",NA,"Pseudochirops corinnae","65629","Pseudochirops corinnae","GENBANK","Baylor College of Medicine",NA,"not collected","not collected","not collected","Chromosome",35895,26949,NA,3469609741,39,75,551799,635686,NA,551799,5,209248263,8,3503377836,3469609741,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Diprotodontia","Pseudocheiridae","Pseudochirops","Pseudochirops corinnae",0.990361275151939,FALSE
"18","GCA_026119655.1","PRJNA874211",NA,"Cranoglanis bouderius","175798","Cranoglanis bouderius","GENBANK","Shou(SHANGHAI OCEAN UNIVERSITY)",NA,NA,NA,NA,"Chromosome",178161,1228,NA,774233271,39.5,75,470,1311571,NA,470,17,22384048,38,998572967,774233435,NA,NA,FALSE,"Eukaryota","Chordata","Actinopteri","Siluriformes","Cranoglanididae","Cranoglanis","Cranoglanis bouderius",0.775339870581536,FALSE
"19","GCA_028627135.1","PRJNA512907",NA,"Pseudochirops cupreus","37702","Pseudochirops cupreus","GENBANK","Baylor College of Medicine",NA,"not collected","not collected","not collected","Chromosome",34608,27966,NA,3546540507,39,79,1056511,1136014,NA,1056511,4,425237964,5,3579892125,3546540507,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Diprotodontia","Pseudocheiridae","Pseudochirops","Pseudochirops cupreus",0.990683624859227,FALSE
"20","GCA_025370935.1","PRJNA737804",NA,"Choristoneura fumiferana","7141","Choristoneura fumiferana","GENBANK","Laurentian Forestry Centre","Abies balsamea","Canada: Ontario","GLFC SBW rearing",NA,"Chromosome",1414,107887,NA,562095621,38,1,334,9379,NA,334,12,20615616,30,575343295,562095912,NA,NA,FALSE,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Tortricidae","Choristoneura","Choristoneura fumiferana",0.976974819876888,FALSE
"21","GCA_015741225.1","PRJNA512907",NA,"Hydrochoerus hydrochaeris","10149","Hydrochoerus hydrochaeris","GENBANK","Baylor College of Medicine",NA,"not collected","not collected","not collected","Chromosome",8795,78808,NA,2576577463,40,74,343877,384170,NA,343877,15,71052467,33,2590838763,2576577463,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Rodentia","Hydrochaeridae","Hydrochoerus","Hydrochoerus hydrochaeris",0.99449548918147,FALSE
"22","GCA_015598185.1","PRJNA576333",NA,"Tachyglossus aculeatus","9261","Tachyglossus aculeatus","GENBANK","BGI",NA,NA,NA,NA,"Chromosome",19795,25012,NA,1989730532,44.5,76,318768,472589,NA,318768,18,38566698,5,2168405530,1989765954,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Monotremata","Tachyglossidae","Tachyglossus","Tachyglossus aculeatus",0.917617081524414,FALSE
"23","GCA_000180615.2","PRJNA1434",NA,"Takifugu rubripes","31033","Takifugu rubripes","GENBANK","EBI",NA,"Japan:Shizuoka",NA,NA,"Chromosome",1722,52883,256,350945394,45.5,8.7,30857,30860,NA,7090,113,928938,22,391468268,350961384,NA,NA,FALSE,"Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Takifugu","Takifugu rubripes",0.896525753653167,FALSE
"24","GCA_028533205.1","PRJNA512907",NA,"Lagorchestes hirsutus","65632","Lagorchestes hirsutus","GENBANK","Baylor College of Medicine",NA,"not collected","not collected","not collected","Chromosome",16076,57452,NA,3355989172,38.5,93,569642,631689,NA,569642,4,401333761,10,3381150672,3355989172,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Diprotodontia","Macropodidae","Lagorchestes","Lagorchestes hirsutus",0.99255830264875,FALSE
"25","GCA_013677235.1","PRJNA488266",NA,"Gossypium klotzschianum","34286","Gossypium klotzschianum","GENBANK","Mississippi State University",NA,"USA: College Station",NA,NA,"Chromosome",44253,3703,NA,641874979,34,57.07,316819,609717,NA,316819,9,37498816,13,670958353,641900718,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Malvales","Malvaceae","Gossypium","Gossypium klotzschianum",0.956692341827064,FALSE
"26","GCA_013677275.1","PRJNA488266",NA,"Gossypium schwendimanii","34291","Gossypium schwendimanii","GENBANK","Mississippi State University",NA,"USA: College Station",NA,NA,"Chromosome",34994,4935,NA,697349361,33.5,97.95,332957,656966,NA,332957,9,38315909,13,729428757,697383858,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Malvales","Malvaceae","Gossypium","Gossypium schwendimanii",0.956068500600669,FALSE
"27","GCA_002163495.1","PRJNA335610",NA,"Oncorhynchus mykiss","8022","Oncorhynchus mykiss","GENBANK","USDA/ARS",NA,"USA: Swanson River, Alaska",NA,NA,"Chromosome",32575,13827,7839,1927467077,42.5,244,139799,559854,NA,139799,259,1670138,29,2178982971,1927467077,NA,NA,FALSE,"Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss",0.884571886358262,FALSE
"28","GCA_037577785.1","PRJNA795327",NA,"Pangasius conchophilus","337735","Pangasius conchophilus","GENBANK","INRAE (Fish Physiology and Genomics laboratory)",NA,"Viet Nam","freshwater","Viet Nam","Chromosome",57302,3452,NA,725931726,39,75,254550,426382,NA,254550,16,20461794,29,742951684,725931726,NA,NA,FALSE,"Eukaryota","Chordata","Actinopteri","Siluriformes","Pangasiidae","Pangasius","Pangasius conchophilus",0.977091433579684,FALSE
"29","GCA_028533395.1","PRJNA512907",NA,"Rousettus madagascariensis","77223","Rousettus madagascariensis","GENBANK","Baylor College of Medicine",NA,"not collected","not collected","not collected","Chromosome",8162,63903,NA,2333758532,40.5,92,1467186,1491090,NA,1467186,10,85834856,18,2344104132,2333758532,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Chiroptera","Pteropodidae","Rousettus","Rousettus madagascariensis",0.995586544190265,FALSE
"30","GCA_000300575.2","PRJNA61005",NA,"Agaricus bisporus var. bisporus H97","936046","Agaricus bisporus var. bisporus H97","GENBANK","DOE Joint Genome Institute",NA,"missing",NA,NA,"Chromosome",8,1652408,NA,30287496,46.5,8.5,13,70,NA,13,5,2550681,13,30417844,30287496,NA,NA,FALSE,"Eukaryota","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus","Agaricus bisporus",0.995714752169812,FALSE
"31","GCA_009663095.1","PRJNA390730",NA,"Fusarium fujikuroi","5127","Fusarium fujikuroi","GENBANK","Unito","Oryza sativa","Italy: Vercelli",NA,NA,"Chromosome",20,678264,NA,43715445,47.5,9.72,12,114,NA,12,5,4218434,12,43737213,43717108,NA,NA,FALSE,"Eukaryota","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium fujikuroi",0.999540322791029,FALSE
"32","GCA_000005505.4","PRJNA32607",NA,"Brachypodium distachyon","15368","Brachypodium distachyon","GENBANK","US DOE Joint Genome Institute",NA,NA,NA,NA,"Chromosome",5,21988513,4,270739461,46.5,9.43,35,35,NA,14,4,30223662,5,271163419,270739461,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Brachypodium","Brachypodium distachyon",0.998436522147554,FALSE
"33","GCA_013467495.1","PRJNA488266",NA,"Gossypium gossypioides","34282","Gossypium gossypioides","GENBANK","Mississippi State University",NA,"USA: College Station",NA,NA,"Chromosome",41251,3979,NA,640367984,34,59.15,344899,590898,NA,344899,10,32963687,13,664724314,640396013,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Malvales","Malvaceae","Gossypium","Gossypium gossypioides",0.963400916007414,FALSE
"34","GCA_047456115.1","PRJNA1000454",NA,"Helianthus anomalus","73274","Helianthus anomalus","GENBANK","INRAE/CNRS",NA,"USA: Utah",NA,NA,"Chromosome",124923,11882,NA,5809531505,39,100,201340,868352,NA,201340,10,309235862,17,6060283471,5809531505,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Helianthus","Helianthus anomalus",0.958623723263126,FALSE
"35","GCA_002993905.1","PRJNA435476",NA,"Miscanthus sacchariflorus","183675","Miscanthus sacchariflorus","GENBANK","Earlham Institute",NA,"United Kingdom: Aberystwyth",NA,NA,"Chromosome",135190,2461,32595,1243407022,46,60,137916,1077567,NA,137916,20585,25627,19,2074921001,1243639586,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Miscanthus","Miscanthus sacchariflorus",0.599367197787594,FALSE
"36","GCA_035584235.1","PRJNA1016113",NA,"Frankliniella intonsa","163893","Frankliniella intonsa","GENBANK","Beijing Academy of Agriculture and Forestry Sciences",NA,"China: Inner Mongolia,Hohhot","ten generations on horsebean seedling",NA,"Chromosome",19202,1679,NA,238786108,50.5,336,47,423210,NA,47,9,12796626,15,261366093,238786282,NA,NA,FALSE,"Eukaryota","Arthropoda","Insecta","Thysanoptera","Thripidae","Frankliniella","Frankliniella intonsa",0.913608491672254,FALSE
"37","GCA_041074935.1","PRJNA1112128",NA,"Eutrema japonicum","75806","Eutrema japonicum","GENBANK","Chungnam National University",NA,"South Korea",NA,"Pyeongchang","Chromosome",16,14158479,NA,794532038,38,1.12,14,112,NA,14,7,58458533,14,794581038,794532038,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Eutrema","Eutrema japonicum",0.999938332281219,FALSE
"38","GCA_013677265.1","PRJNA488266",NA,"Gossypium armourianum","34283","Gossypium armourianum","GENBANK","Mississippi State University",NA,"USA: College Station",NA,NA,"Chromosome",163093,704,NA,680650897,34.5,54.26,446787,1450795,NA,446787,8,45725318,13,780950899,680678638,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Malvales","Malvaceae","Gossypium","Gossypium armourianum",0.87160234897175,FALSE
"39","GCA_009887355.1","PRJNA565112",NA,"Solanum pinnatisectum","50273","Solanum pinnatisectum","GENBANK","ICAR-Central Potato Research Institute, Shimla",NA,"India: ICAR-CPRI, Shimla",NA,NA,"Chromosome",50263,1995,NA,448476623,34.5,40,12,779713,NA,12,6,59728962,12,724557807,453169093,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Solanales","Solanaceae","Solanum","Solanum pinnatisectum",0.625442288554349,FALSE
"40","GCA_941860345.1","PRJEB38103",NA,"Chrysodeixis includens","689277","Chrysodeixis includens","GENBANK","EBI",NA,"USA",NA,NA,"Chromosome",99,1140895,NA,369424885,36,6,80,595,NA,80,13,12815633,30,369676332,369424885,NA,NA,FALSE,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis includens",0.999319818505449,FALSE
"41","GCA_013677245.1","PRJNA488266",NA,"Gossypium davidsonii","34287","Gossypium davidsonii","GENBANK","Mississippi State University",NA,"USA: College Station",NA,NA,"Chromosome",32285,5564,NA,682496798,33.5,54.85,314795,535698,NA,314795,9,38541894,13,704223819,682531251,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Malvales","Malvaceae","Gossypium","Gossypium davidsonii",0.969196486380135,FALSE
"42","GCA_013677255.1","PRJNA488266",NA,"Gossypium harknessii","34285","Gossypium harknessii","GENBANK","Mississippi State University",NA,"USA: College Station",NA,NA,"Chromosome",58412,2811,NA,686732119,33,61.29,373839,825245,NA,373839,8,43316934,13,732154658,686741565,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Malvales","Malvaceae","Gossypium","Gossypium harknessii",0.937973360540991,FALSE
"43","GCA_051107185.1","PRJNA1076684",NA,"Neosalanx anderssoni","350769","Neosalanx anderssoni","GENBANK","Institute of Oceanology, Chinese Academy of Sciences",NA,"China:Shuangyang Port",NA,"missing","Chromosome",30863,3238,NA,462362250,47,19,159230,322279,NA,159230,14,15825868,28,478641132,462364947,NA,NA,FALSE,"Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Neosalanx","Neosalanx anderssoni",0.965995013984715,FALSE
"44","GCA_002917755.1","PRJNA413079",NA,"Beta vulgaris subsp. vulgaris","3555","Beta vulgaris subsp. vulgaris","GENBANK","USDA-ARS",NA,"USA: Michigan, East Lansing",NA,NA,"Chromosome",64,2700559,NA,540479261,36,1,40,363,NA,40,5,57938902,9,540534112,540479261,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Caryophyllales","Chenopodiaceae","Beta","Beta vulgaris",0.999898524443172,FALSE
"45","GCA_042465325.1","PRJNA1066108",NA,"Chamaerops humilis","54446","Chamaerops humilis","GENBANK","Botanical Garden of Padova",NA,"Italy",NA,NA,"Chromosome",527,1982289,NA,4040663464,44,8.5,1818,5065,NA,1818,8,211881467,18,4041312864,4040663464,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Arecales","Arecaceae","Chamaerops","Chamaerops humilis",0.999839309644699,FALSE
"46","GCA_042465335.1","PRJNA1066109",NA,"Chamaerops humilis","54446","Chamaerops humilis","GENBANK","Botanical Garden of Padova",NA,"Italy",NA,NA,"Chromosome",560,1818675,NA,3920334241,44,8.5,1432,4634,NA,1432,8,206085499,18,3920974641,3920334241,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Arecales","Arecaceae","Chamaerops","Chamaerops humilis",0.999836673261463,FALSE
"47","GCA_044906145.1","PRJNA1019919",NA,"Curcuma longa","136217","Curcuma longa","GENBANK","Institut Teknologi Bandung",NA,"Indonesia",NA,"Majalengka, Jawa Barat","Chromosome",200567,396,NA,288542380,37.5,10,9209,805814,NA,9209,9,14631939,21,368213889,288542380,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Zingiberales","Zingiberaceae","Curcuma","Curcuma longa",0.783627094522771,FALSE
"48","GCA_000612305.2","PRJNA49047",NA,"Eucalyptus grandis","71139","Eucalyptus grandis","GENBANK","DOE Joint Genome Institute",NA,"Brazil: Originally from Coffs Harbor, Australia, collected in Brazil","first generation selfed progeny",NA,"Chromosome",2267,67206,293,640359743,39.5,6.73,32816,32816,NA,5224,55,3504154,11,691266166,640359743,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Myrtales","Myrtaceae","Eucalyptus","Eucalyptus grandis",0.926357710670885,FALSE
"49","GCA_013467475.1","PRJNA488266",NA,"Gossypium raimondii","29730","Gossypium raimondii","GENBANK","Mississippi State University",NA,"USA: College Station",NA,NA,"Chromosome",106943,1101,NA,534567493,35.5,81.02,94517,894248,NA,94517,7,46774767,13,615032910,534567798,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Malvales","Malvaceae","Gossypium","Gossypium raimondii",0.869169420543691,FALSE
"50","GCA_004706985.1","PRJNA362521",NA,"Ipomoea trifida","35884","Ipomoea trifida","GENBANK","Sichuan Academy of Agricultural Sciences",NA,"China:Shichuan",NA,NA,"Chromosome",2149,59532,NA,449295159,35.5,0.97,4236,15700,NA,4236,8,28859841,15,460934112,449299541,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Solanales","Convolvulaceae","Ipomoea","Ipomoea trifida",0.974758711284098,FALSE
"51","GCA_028583105.1","PRJNA512907",NA,"Macropus fuliginosus","9316","Macropus fuliginosus","GENBANK","Baylor College of Medicine",NA,NA,NA,"not collected","Chromosome",29936,30299,NA,3609821819,38.5,64,1417799,1491687,NA,1417799,5,341276260,8,3638522883,3609821819,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","Macropus fuliginosus",0.992111891302347,FALSE
"52","GCA_002234675.1","PRJNA325079",NA,"Oryzias latipes","8090","Oryzias latipes","GENBANK","The University of Tokyo",NA,NA,NA,NA,"Chromosome",88,2530934,NA,733549372,41,0.99,24,515,NA,24,11,31218526,24,734040372,733549372,NA,NA,FALSE,"Eukaryota","Chordata","Actinopteri","Beloniformes","Adrianichthyidae","Oryzias","Oryzias latipes",0.999331099461652,FALSE
"53","GCA_002234695.1","PRJNA325194",NA,"Oryzias latipes","8090","Oryzias latipes","GENBANK","The University of Tokyo",NA,NA,NA,NA,"Chromosome",67,3516609,NA,744096398,41,1.01,24,342,NA,24,11,32853055,24,744414398,744096398,NA,NA,FALSE,"Eukaryota","Chordata","Actinopteri","Beloniformes","Adrianichthyidae","Oryzias","Oryzias latipes",0.999572818579471,FALSE
"54","GCA_002234715.1","PRJNA325193",NA,"Oryzias latipes","8090","Oryzias latipes","GENBANK","The University of Tokyo",NA,NA,NA,NA,"Chromosome",134,1450098,NA,676916405,40.5,0.94,24,741,NA,24,11,28873095,24,677633405,676916405,NA,NA,FALSE,"Eukaryota","Chordata","Actinopteri","Beloniformes","Adrianichthyidae","Oryzias","Oryzias latipes",0.998941905763928,FALSE
"55","GCA_028646595.1","PRJNA512907",NA,"Phalanger gymnotis","65615","Phalanger gymnotis","GENBANK","Baylor College of Medicine",NA,NA,NA,"not collected","Chromosome",34298,28067,NA,3590422765,39.5,69,1142900,1222713,NA,1142900,4,353051754,7,3623972075,3590422765,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Diprotodontia","Phalangeridae","Phalanger","Phalanger gymnotis",0.990742392792858,FALSE
"56","GCA_006980745.1","PRJNA503326",NA,"Gossypium hirsutum","3635","Gossypium hirsutum","GENBANK","Chinese Academy of Agricultural Sciences",NA,"China",NA,"not collected","Chromosome",141,4760671,NA,2287799113,34.5,0.96,599,1272,NA,599,11,96727820,26,2287866413,2287799113,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Malvales","Malvaceae","Gossypium","Gossypium hirsutum",0.999970583946852,FALSE
"57","GCA_006980775.1","PRJNA503326",NA,"Gossypium hirsutum","3635","Gossypium hirsutum","GENBANK","Chinese Academy of Agricultural Sciences",NA,"China",NA,"not collected","Chromosome",307,1982520,NA,2308068697,34.5,0.97,2238,3708,NA,2238,11,93248268,26,2308215698,2308068698,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Malvales","Malvaceae","Gossypium","Gossypium hirsutum",0.999936314444041,FALSE
"58","GCA_013467465.1","PRJNA488266",NA,"Gossypium trilobum","34281","Gossypium trilobum","GENBANK","Mississippi State University",NA,"USA: College Station",NA,NA,"Chromosome",41329,3931,NA,626482862,34,55.93,290398,590117,NA,290398,9,35740580,13,655376848,626530385,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Malvales","Malvaceae","Gossypium","Gossypium trilobum",0.955984922128345,FALSE
"59","GCA_022985145.1","PRJNA605300",NA,"Pangasius djambal","1691987","Pangasius djambal","GENBANK","INRA (Fish Physiology and Genomics laboratory)",NA,"Indonesia:sumatra",NA,NA,"Chromosome",7500,28811,NA,839774253,39.5,42.2,374880,422525,NA,374880,15,24952887,30,844539323,839774253,NA,NA,FALSE,"Eukaryota","Chordata","Actinopteri","Siluriformes","Pangasiidae","Pangasius","Pangasius djambal",0.994357787884792,FALSE
"60","GCA_000002335.3","PRJNA12540",NA,"Tribolium castaneum","7070","Tribolium castaneum","GENBANK","Baylor College of Medicine, Human Genome Sequencing Center",NA,"USA: Kansas",NA,NA,"Chromosome",512,73049,67,152413474,34,7,7058,7058,NA,2148,12,4456720,11,165928604,152413474,NA,NA,FALSE,"Eukaryota","Arthropoda","Insecta","Coleoptera","Tenebrionidae","Tribolium","Tribolium castaneum",0.918548522230682,FALSE
